,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2
610,5.50,5.46,0.04,5.50,4.60,4.67,0.07,0.00,5.33,10.54,6.01,521.47,0.87,0.86,-3.68,-3.55
611,5.88,5.52,0.36,5.88,4.74,4.71,0.03,0.02,6.83,12.39,6.58,555.71,0.88,0.89,-3.77,-3.90
612,5.50,5.20,0.30,5.50,4.41,4.31,0.09,0.00,5.66,11.52,6.71,586.22,0.85,0.86,-3.21,-3.31
613,5.18,5.28,0.10,5.28,4.36,4.44,0.08,0.00,5.35,11.87,7.32,652.07,0.96,0.83,-4.12,-3.18
614,5.01,5.29,0.28,5.29,4.24,4.34,0.10,0.00,5.68,12.17,7.34,648.76,0.89,0.91,-3.52,-3.69
615,5.64,5.13,0.51,5.64,4.42,4.35,0.08,0.00,5.91,12.12,7.09,620.31,0.88,0.84,-3.52,-3.27
616,5.98,6.39,0.41,6.39,5.04,5.27,0.24,0.01,6.52,10.94,5.40,442.11,0.89,0.80,-4.43,-3.83
617,5.83,5.67,0.17,5.83,4.88,4.78,0.10,0.00,7.19,13.01,6.90,582.15,0.82,0.85,-3.58,-3.61
618,5.84,5.87,0.03,5.87,4.95,5.05,0.10,0.00,7.03,12.44,6.46,540.64,0.82,0.87,-3.65,-4.10
619,5.91,5.55,0.36,5.91,4.93,4.61,0.31,0.00,5.07,10.64,6.33,557.16,0.93,0.89,-4.31,-4.00
620,6.03,6.03,0.00,6.03,4.99,5.06,0.07,0.00,5.62,10.42,5.64,480.01,0.86,0.84,-4.16,-3.94
621,6.20,6.19,0.01,6.20,5.33,5.36,0.03,0.00,4.93,9.89,5.70,496.48,0.85,0.90,-4.22,-4.77
622,6.35,6.25,0.09,6.35,5.33,5.36,0.03,0.00,5.47,10.28,5.62,480.35,0.82,0.86,-3.95,-4.36
623,5.63,5.52,0.11,5.63,4.65,4.47,0.18,0.00,7.29,13.35,7.15,606.03,0.87,0.90,-3.59,-3.81
624,5.28,5.47,0.18,5.47,4.38,4.56,0.18,0.00,8.50,14.66,7.43,615.30,0.86,0.84,-3.38,-3.26
625,6.09,6.22,0.13,6.22,5.14,5.27,0.13,0.01,6.10,11.21,6.03,511.06,0.82,0.83,-3.86,-3.94
626,5.37,5.39,0.02,5.39,4.55,4.58,0.03,0.00,7.09,12.90,6.88,581.81,0.88,0.88,-3.60,-3.58
627,6.44,6.48,0.04,6.48,5.46,5.48,0.02,0.00,4.44,8.39,4.61,394.74,0.84,0.83,-4.49,-4.43
628,6.26,6.16,0.09,6.26,5.45,5.27,0.18,0.01,5.93,9.86,4.83,393.61,0.84,0.82,-4.38,-4.15
629,5.05,4.94,0.10,5.05,4.11,3.97,0.14,0.00,7.06,13.38,7.38,632.36,0.86,0.87,-3.18,-3.21
630,6.03,5.82,0.21,6.03,5.13,5.04,0.09,0.00,6.66,11.36,5.69,469.43,0.83,0.89,-3.90,-4.56
631,5.52,5.48,0.04,5.52,4.61,4.62,0.01,0.00,6.12,11.73,6.53,560.96,0.80,0.86,-3.20,-3.60
632,6.56,6.66,0.10,6.66,5.71,5.58,0.13,0.07,6.44,10.50,5.03,406.55,0.87,0.82,-4.77,-4.36
633,5.74,5.76,0.02,5.76,4.87,4.74,0.13,0.01,7.98,13.48,6.70,549.95,0.90,0.92,-4.13,-4.16
634,5.51,5.49,0.03,5.51,4.57,4.48,0.09,0.00,5.26,11.06,6.59,580.04,0.84,0.90,-3.42,-3.89
635,5.48,5.58,0.10,5.58,4.57,4.46,0.11,0.00,4.88,10.59,6.44,570.56,0.87,0.83,-3.80,-3.33
636,6.57,6.13,0.43,6.57,5.48,5.14,0.34,0.00,6.62,11.19,5.57,457.46,0.86,0.86,-4.44,-4.40
637,5.83,5.92,0.10,5.92,5.09,5.07,0.03,0.00,8.35,13.42,6.32,506.60,0.91,0.84,-4.42,-3.88
638,6.94,7.18,0.24,7.18,6.06,5.97,0.09,0.02,5.22,8.47,4.03,324.97,0.79,0.76,-4.59,-4.32
639,6.16,6.23,0.07,6.23,5.13,5.38,0.25,0.00,3.51,7.93,4.95,442.13,0.86,0.80,-4.33,-3.82
640,6.21,6.31,0.10,6.31,5.10,5.40,0.30,0.00,4.01,9.11,5.69,509.20,0.84,0.90,-4.05,-4.44
641,5.19,5.40,0.21,5.40,4.41,4.48,0.07,0.00,5.01,11.87,7.61,686.29,0.93,0.85,-4.00,-3.30
642,6.04,6.24,0.20,6.24,4.90,5.22,0.32,0.02,4.80,9.28,5.21,448.86,0.84,0.89,-4.00,-4.28
643,5.91,6.19,0.29,6.19,5.08,5.21,0.13,0.00,7.13,12.31,6.25,518.33,0.85,0.90,-4.02,-4.50
644,4.92,5.12,0.20,5.12,4.20,4.29,0.09,0.00,5.23,11.08,6.63,584.48,0.87,0.89,-3.33,-3.51
645,5.97,5.89,0.08,5.97,5.02,4.86,0.16,0.00,6.75,12.01,6.27,526.28,0.86,0.87,-3.97,-3.91
646,5.90,6.29,0.39,6.29,5.12,5.26,0.14,0.02,8.09,12.79,5.92,470.16,0.88,0.83,-4.44,-4.04
647,6.15,6.27,0.12,6.27,5.30,5.26,0.04,0.00,5.12,9.23,4.88,411.49,0.90,0.82,-4.66,-4.03
648,6.43,6.24,0.20,6.43,5.50,5.21,0.29,0.01,7.01,11.24,5.28,422.65,0.84,0.78,-4.39,-3.74
649,5.24,5.42,0.18,5.42,4.37,4.50,0.12,0.00,5.31,11.51,7.00,620.27,0.86,0.85,-3.34,-3.26
650,5.43,5.22,0.21,5.43,4.53,4.25,0.27,0.00,4.87,11.67,7.53,680.01,0.90,0.90,-3.61,-3.64
651,5.21,5.43,0.22,5.43,4.21,4.61,0.39,0.04,5.48,11.24,6.59,576.50,0.83,0.84,-3.20,-3.47
652,6.12,6.47,0.34,6.47,5.12,5.41,0.29,0.01,5.58,10.00,5.25,441.64,0.84,0.87,-4.26,-4.56
653,5.32,5.06,0.26,5.32,4.27,4.28,0.01,0.00,5.56,11.80,7.08,624.37,0.81,0.91,-2.77,-3.67
654,6.61,6.80,0.19,6.80,5.79,5.69,0.10,0.01,4.87,8.66,4.52,378.60,0.83,0.78,-4.52,-4.15
655,5.96,5.73,0.23,5.96,5.08,4.87,0.21,0.00,6.62,12.10,6.47,548.02,0.88,0.88,-4.02,-4.02
656,6.66,6.74,0.08,6.74,5.51,5.74,0.23,0.02,5.43,9.31,4.70,388.16,0.79,0.88,-4.15,-4.93
657,5.83,6.12,0.29,6.12,4.90,5.04,0.14,0.02,6.51,11.08,5.55,457.01,0.85,0.86,-3.95,-4.15
658,6.29,6.16,0.13,6.29,5.23,5.24,0.01,0.00,6.27,10.95,5.62,467.69,0.84,0.86,-4.12,-4.11
659,5.89,6.05,0.16,6.05,5.16,5.09,0.06,0.00,4.69,9.35,5.36,465.88,0.84,0.84,-3.98,-3.80
660,7.24,7.04,0.20,7.24,6.03,5.91,0.13,0.22,5.30,7.58,3.08,228.10,0.74,0.70,-4.35,-3.99
661,6.13,6.16,0.04,6.16,5.27,5.31,0.03,0.01,5.55,10.07,5.35,452.12,0.84,0.87,-4.22,-4.40
662,5.72,6.47,0.75,6.47,4.89,5.35,0.46,0.00,6.50,11.57,6.04,506.89,0.84,0.88,-3.96,-4.41
663,4.92,5.34,0.42,5.34,4.10,4.49,0.39,0.00,6.94,13.08,7.18,613.53,0.84,0.91,-3.21,-3.83
664,5.64,5.67,0.02,5.67,4.85,4.77,0.09,0.00,5.79,11.33,6.41,554.14,0.88,0.86,-3.99,-3.82
665,6.19,6.36,0.17,6.36,5.22,5.53,0.31,0.01,7.11,11.30,5.26,419.00,0.81,0.86,-3.93,-4.48
666,5.63,5.89,0.26,5.89,4.78,4.83,0.05,0.00,6.38,12.19,6.77,581.02,0.93,0.84,-4.20,-3.54
667,5.51,5.19,0.32,5.51,4.49,4.43,0.06,0.00,4.85,11.16,7.04,630.99,0.83,0.83,-3.18,-3.12
668,5.08,4.85,0.23,5.08,4.35,4.13,0.22,0.00,6.95,13.50,7.59,654.69,0.89,0.91,-3.42,-3.47
669,5.58,5.72,0.14,5.72,4.56,4.71,0.15,0.00,7.91,13.74,7.02,582.88,0.87,0.87,-3.61,-3.74
670,5.25,5.04,0.21,5.25,4.34,4.27,0.07,0.00,6.20,12.79,7.52,658.54,0.86,0.85,-3.27,-3.22
671,5.48,5.38,0.10,5.48,4.54,4.52,0.02,0.01,6.03,11.61,6.48,557.98,0.86,0.90,-3.54,-3.94
672,5.84,6.21,0.36,6.21,5.00,5.39,0.39,0.01,5.69,10.43,5.59,473.89,0.85,0.85,-4.22,-4.14
673,5.05,5.23,0.18,5.23,4.35,4.46,0.11,0.01,6.86,12.54,6.71,568.05,0.88,0.90,-3.57,-3.71
674,5.50,5.90,0.40,5.90,4.70,5.05,0.36,0.02,8.50,13.00,5.77,450.01,0.86,0.89,-4.13,-4.30
675,4.62,5.05,0.43,5.05,3.87,4.22,0.36,0.00,6.62,13.16,7.53,653.40,0.83,0.84,-2.78,-3.06
676,6.82,6.86,0.04,6.86,5.79,5.86,0.06,0.05,4.98,8.48,4.24,349.39,0.79,0.78,-4.49,-4.39
677,5.33,5.39,0.06,5.39,4.37,4.50,0.13,0.00,9.64,15.29,7.10,564.86,0.83,0.91,-3.26,-3.86
678,6.52,6.37,0.15,6.52,5.41,5.57,0.16,0.03,6.73,10.85,5.13,411.64,0.77,0.83,-3.84,-4.31
679,6.79,6.85,0.06,6.85,5.69,5.65,0.04,0.05,5.33,8.23,3.70,290.52,0.83,0.80,-4.74,-4.55
680,6.42,6.18,0.24,6.42,5.26,5.26,0.00,0.03,6.48,10.88,5.38,440.72,0.85,0.93,-4.22,-4.92
681,5.76,5.66,0.09,5.76,4.67,4.74,0.06,0.00,5.87,11.02,6.04,515.71,0.80,0.90,-3.42,-4.14
682,5.96,6.37,0.41,6.37,5.17,5.25,0.07,0.04,6.01,10.21,5.10,419.67,0.84,0.78,-4.25,-3.74
683,6.03,6.26,0.23,6.26,5.13,5.13,0.00,0.00,6.12,11.62,6.41,549.58,0.83,0.86,-3.78,-4.01
684,5.44,5.31,0.13,5.44,4.52,4.44,0.09,0.00,6.28,11.97,6.63,568.86,0.85,0.86,-3.41,-3.50
685,5.73,5.69,0.04,5.73,4.78,4.71,0.07,0.00,6.80,12.28,6.50,548.15,0.84,0.85,-3.58,-3.67
686,5.61,5.43,0.17,5.61,4.51,4.47,0.05,0.00,5.46,11.65,7.01,618.88,0.84,0.89,-3.18,-3.73
687,5.93,6.20,0.27,6.20,5.10,5.18,0.09,0.01,4.85,10.14,6.02,529.61,0.89,0.81,-4.24,-3.69
688,6.74,6.84,0.10,6.84,5.70,5.62,0.08,0.05,6.19,10.06,4.80,387.21,0.82,0.85,-4.47,-4.68
689,5.44,5.31,0.13,5.44,4.53,4.42,0.11,0.00,5.19,11.32,6.91,613.27,0.88,0.86,-3.62,-3.34
690,5.91,5.79,0.11,5.91,4.95,4.80,0.14,0.00,10.24,15.81,7.10,556.51,0.78,0.85,-3.29,-3.82
691,6.08,5.73,0.36,6.08,5.04,4.96,0.07,0.00,5.90,11.01,5.99,510.80,0.87,0.87,-4.13,-4.02
692,5.34,5.42,0.08,5.42,4.52,4.44,0.08,0.00,6.70,12.83,7.14,613.98,0.92,0.82,-3.96,-3.22
693,6.45,6.25,0.20,6.45,5.46,5.24,0.22,0.01,5.69,10.38,5.54,468.72,0.81,0.77,-3.91,-3.48
694,6.28,5.91,0.36,6.28,5.29,4.98,0.31,0.01,6.25,10.73,5.42,448.49,0.84,0.89,-4.11,-4.52
695,5.78,6.04,0.27,6.04,4.92,5.13,0.21,0.00,6.25,11.07,5.76,482.05,0.77,0.85,-3.37,-4.20
696,5.45,5.62,0.17,5.62,4.61,4.58,0.03,0.00,8.49,14.28,7.07,579.24,0.86,0.86,-3.56,-3.49
697,5.51,5.88,0.37,5.88,4.67,4.78,0.10,0.00,6.85,12.36,6.54,551.25,0.85,0.90,-3.57,-3.97
698,5.70,5.43,0.28,5.70,4.69,4.59,0.10,0.00,6.84,12.20,6.39,536.34,0.86,0.90,-3.65,-3.90
699,6.00,5.99,0.02,6.00,5.04,5.12,0.08,0.00,7.90,13.04,6.33,514.35,0.83,0.88,-3.63,-4.01
700,6.21,6.43,0.22,6.43,5.18,5.33,0.15,0.02,5.92,10.30,5.27,438.08,0.83,0.83,-4.09,-4.11
701,6.37,6.26,0.11,6.37,5.41,5.27,0.14,0.00,5.80,10.24,5.32,444.71,0.81,0.86,-3.99,-4.31
702,6.45,6.25,0.20,6.45,5.47,5.45,0.02,0.03,6.83,10.81,5.00,397.64,0.87,0.84,-4.67,-4.25
703,5.73,5.58,0.15,5.73,4.68,4.60,0.08,0.00,5.87,11.25,6.26,537.42,0.82,0.90,-3.32,-4.07
704,5.84,5.84,0.01,5.84,4.92,4.91,0.00,0.00,5.09,10.31,5.99,522.18,0.88,0.87,-4.05,-3.89
705,6.40,6.40,0.01,6.40,5.22,5.45,0.23,0.02,5.70,9.93,5.08,422.63,0.79,0.79,-3.76,-3.86
706,6.07,5.93,0.14,6.07,4.77,4.90,0.13,0.00,4.93,10.37,6.18,543.92,0.80,0.85,-3.30,-3.85
707,5.39,5.62,0.23,5.62,4.67,4.72,0.05,0.00,7.09,12.65,6.62,556.14,0.86,0.89,-3.70,-3.96
708,6.55,6.60,0.05,6.60,5.42,5.58,0.16,0.02,3.57,8.00,4.97,443.72,0.82,0.82,-4.22,-4.18
709,6.80,6.85,0.05,6.85,5.85,5.75,0.10,0.05,4.70,8.14,4.15,344.51,0.75,0.79,-4.14,-4.43
710,5.28,5.54,0.27,5.54,4.53,4.68,0.16,0.01,5.94,12.29,7.23,634.33,0.90,0.88,-3.92,-3.65
711,5.22,5.26,0.04,5.26,4.21,4.40,0.20,0.00,7.35,13.45,7.20,609.29,0.91,0.88,-3.66,-3.48
712,5.46,5.49,0.03,5.49,4.52,4.59,0.08,0.00,7.85,13.64,6.96,578.12,0.87,0.94,-3.69,-4.18
713,6.94,7.30,0.36,7.30,5.90,6.13,0.23,0.09,5.03,8.37,4.10,334.80,0.77,0.76,-4.37,-4.24
714,5.58,5.43,0.15,5.58,4.55,4.57,0.02,0.00,6.33,11.91,6.53,557.85,0.85,0.88,-3.55,-3.80
715,6.43,6.39,0.04,6.43,5.20,5.24,0.05,0.00,6.04,10.41,5.27,436.63,0.84,0.87,-4.22,-4.34
716,5.46,5.36,0.10,5.46,4.65,4.53,0.13,0.00,6.42,12.25,6.79,583.03,0.89,0.90,-3.67,-3.91
717,5.97,5.91,0.05,5.97,5.09,5.05,0.04,0.00,5.36,10.15,5.60,479.42,0.88,0.80,-4.23,-3.69
718,6.58,6.71,0.13,6.71,5.50,5.86,0.36,0.06,6.68,10.41,4.73,372.97,0.73,0.82,-3.68,-4.45
719,5.13,5.62,0.49,5.62,4.41,4.61,0.20,0.00,6.21,11.96,6.68,574.46,0.83,0.90,-3.27,-3.98
720,5.75,5.81,0.05,5.81,4.83,5.03,0.20,0.01,6.10,10.67,5.48,456.40,0.82,0.90,-3.79,-4.37
721,5.17,5.21,0.03,5.21,4.35,4.18,0.16,0.00,6.45,12.89,7.40,643.65,0.85,0.83,-3.32,-3.07
722,6.63,6.60,0.04,6.63,5.51,5.60,0.09,0.00,6.83,11.24,5.43,440.59,0.84,0.88,-4.36,-4.76
723,5.97,6.03,0.06,6.03,5.02,5.23,0.21,0.02,4.78,10.04,5.97,525.37,0.82,0.83,-3.74,-3.78
724,6.24,6.31,0.07,6.31,5.38,5.36,0.02,0.00,5.83,10.41,5.45,457.83,0.83,0.83,-4.21,-4.11
725,5.09,4.91,0.17,5.09,4.15,4.19,0.05,0.00,6.58,13.19,7.60,661.47,0.84,0.89,-2.85,-3.32
726,7.23,6.56,0.67,7.23,5.93,5.44,0.49,0.02,7.03,10.86,4.88,382.48,0.75,0.84,-3.93,-4.62
727,6.07,6.19,0.12,6.19,4.96,5.34,0.38,0.02,4.55,8.69,4.82,413.68,0.78,0.86,-3.52,-4.32
728,6.13,5.69,0.44,6.13,5.09,4.79,0.30,0.00,5.63,10.68,5.89,504.89,0.84,0.87,-3.84,-4.03
729,5.16,5.05,0.12,5.16,4.32,4.34,0.01,0.01,6.78,12.34,6.58,556.55,0.86,0.90,-3.36,-3.73
730,5.54,5.43,0.11,5.54,4.69,4.60,0.09,0.00,6.26,12.37,7.05,611.59,0.83,0.85,-3.37,-3.28
731,5.43,5.42,0.01,5.43,4.63,4.45,0.17,0.00,8.00,13.80,6.99,579.08,0.88,0.80,-3.75,-3.02
732,5.63,5.58,0.05,5.63,4.75,4.62,0.13,0.00,6.55,11.89,6.32,533.79,0.88,0.85,-3.94,-3.58
733,5.52,5.17,0.35,5.52,4.55,4.40,0.15,0.00,6.16,12.41,7.17,625.00,0.87,0.91,-3.45,-3.79
734,5.43,5.50,0.07,5.50,4.61,4.36,0.25,0.00,6.90,12.90,7.03,599.43,0.87,0.85,-3.64,-3.43
735,5.37,5.85,0.49,5.85,4.72,4.83,0.11,0.00,5.50,11.12,6.45,562.52,0.84,0.89,-3.51,-3.98
736,5.13,4.87,0.26,5.13,4.22,4.22,0.01,0.00,5.62,11.96,7.19,634.30,0.88,0.88,-3.37,-3.31
737,5.42,5.18,0.24,5.42,4.57,4.37,0.20,0.00,8.01,14.23,7.42,621.57,0.85,0.87,-3.49,-3.41
738,5.29,5.21,0.08,5.29,4.49,4.28,0.22,0.00,6.04,12.80,7.66,675.71,0.90,0.81,-3.73,-2.72
739,6.59,6.59,0.01,6.59,5.59,5.48,0.11,0.00,4.87,8.69,4.54,381.25,0.84,0.84,-4.59,-4.65
740,6.41,6.04,0.38,6.41,5.36,5.06,0.31,0.02,7.31,11.85,5.63,453.76,0.83,0.84,-4.01,-4.01
741,6.55,6.37,0.18,6.55,5.55,5.47,0.08,0.03,5.45,9.13,4.50,368.64,0.82,0.82,-4.62,-4.44
742,6.43,6.37,0.05,6.43,5.39,5.41,0.02,0.01,5.61,10.27,5.50,465.93,0.87,0.83,-4.35,-4.02
743,6.09,6.07,0.01,6.09,4.99,5.18,0.19,0.08,6.14,10.56,5.34,442.12,0.80,0.89,-3.87,-4.57
744,7.00,7.34,0.34,7.34,5.80,6.33,0.54,0.20,4.78,7.54,3.48,276.34,0.72,0.80,-4.14,-4.80
745,6.42,6.49,0.07,6.49,5.51,5.57,0.06,0.01,5.83,10.17,5.22,434.49,0.83,0.83,-4.24,-4.22
746,5.87,5.52,0.35,5.87,4.88,4.69,0.18,0.01,6.95,12.02,6.12,507.33,0.83,0.88,-3.71,-4.11
747,5.39,5.86,0.46,5.86,4.51,4.92,0.40,0.00,5.70,11.59,6.74,588.72,0.85,0.87,-3.41,-3.72
748,5.47,5.49,0.01,5.49,4.52,4.46,0.06,0.00,6.45,12.48,7.00,602.77,0.89,0.85,-3.67,-3.32
749,5.76,5.77,0.01,5.77,4.76,4.95,0.20,0.00,5.54,11.41,6.70,586.40,0.82,0.89,-3.37,-4.08
750,5.75,5.23,0.52,5.75,4.80,4.30,0.49,0.01,6.08,12.26,7.10,618.57,0.82,0.84,-3.19,-3.28
751,6.81,7.08,0.27,7.08,5.66,5.75,0.09,0.08,5.33,8.49,3.95,315.50,0.75,0.78,-4.12,-4.35
752,5.21,5.29,0.08,5.29,4.43,4.32,0.11,0.00,8.20,14.62,7.65,641.85,0.87,0.88,-3.48,-3.49
753,5.80,5.92,0.12,5.92,4.75,4.89,0.14,0.00,6.53,11.67,6.12,513.81,0.86,0.88,-3.92,-4.12
754,5.91,5.81,0.10,5.91,5.12,4.92,0.20,0.00,5.06,9.57,5.27,451.20,0.86,0.82,-4.17,-3.72
755,7.06,6.91,0.15,7.06,5.87,5.74,0.13,0.08,4.82,7.86,3.76,303.31,0.78,0.77,-4.43,-4.26
756,5.39,5.53,0.14,5.53,4.51,4.57,0.06,0.00,5.86,12.12,7.14,626.29,0.81,0.87,-3.14,-3.50
757,6.13,5.97,0.16,6.13,5.21,4.93,0.28,0.01,7.93,12.71,5.97,477.99,0.84,0.86,-4.13,-4.14
758,5.44,5.43,0.01,5.44,4.58,4.60,0.02,0.00,6.94,12.74,6.85,580.58,0.89,0.91,-3.83,-3.88
759,6.99,7.11,0.12,7.11,5.72,6.02,0.30,0.18,4.79,7.96,3.89,317.14,0.72,0.80,-3.78,-4.45
760,6.27,6.23,0.04,6.27,5.23,5.08,0.14,0.01,7.62,12.21,5.73,459.13,0.84,0.89,-3.99,-4.37
761,5.17,5.01,0.16,5.17,4.20,4.33,0.13,0.00,6.06,12.56,7.41,649.86,0.90,0.82,-3.61,-2.84
762,6.30,6.01,0.28,6.30,5.37,5.06,0.30,0.01,6.70,11.52,5.83,482.13,0.85,0.82,-4.38,-3.91
763,5.45,5.90,0.44,5.90,4.58,4.97,0.39,0.01,5.74,11.00,6.11,525.34,0.88,0.88,-3.85,-4.01
764,5.36,5.10,0.26,5.36,4.42,4.23,0.19,0.00,7.11,13.61,7.57,649.98,0.89,0.86,-3.61,-3.22
765,6.27,6.65,0.39,6.65,5.38,5.40,0.02,0.03,6.13,10.32,5.11,418.70,0.77,0.90,-3.83,-4.85
766,6.07,5.65,0.42,6.07,5.06,4.75,0.31,0.01,6.57,11.65,6.06,507.09,0.82,0.90,-3.73,-4.30
767,6.46,6.28,0.18,6.46,5.49,5.24,0.25,0.01,4.81,8.91,4.82,409.78,0.85,0.84,-4.27,-4.12
768,6.32,6.83,0.51,6.83,5.22,5.71,0.49,0.01,5.72,9.67,4.81,394.73,0.75,0.83,-3.57,-4.39
769,6.56,6.61,0.04,6.61,5.59,5.41,0.18,0.06,6.11,10.23,5.04,412.33,0.79,0.79,-3.97,-3.92
770,5.27,5.35,0.07,5.35,4.44,4.41,0.02,0.00,7.22,13.45,7.31,623.10,0.81,0.85,-2.96,-3.32
771,5.39,5.22,0.17,5.39,4.52,4.27,0.24,0.00,6.49,12.36,6.84,586.41,0.87,0.83,-3.60,-3.21
772,5.64,5.46,0.18,5.64,4.83,4.57,0.26,0.00,6.52,11.44,5.90,492.10,0.86,0.86,-3.87,-3.79
773,5.99,5.73,0.26,5.99,5.05,4.90,0.15,0.00,4.92,9.71,5.53,478.79,0.86,0.84,-4.01,-3.82
774,6.16,5.94,0.22,6.16,5.26,5.05,0.20,0.01,5.29,9.84,5.35,455.25,0.78,0.87,-3.57,-4.23
775,6.33,6.30,0.03,6.33,5.36,5.19,0.17,0.01,6.18,10.34,5.09,415.86,0.82,0.86,-4.17,-4.42
776,5.99,5.83,0.16,5.99,5.08,5.01,0.07,0.02,6.01,11.27,6.16,525.83,0.81,0.84,-3.68,-3.99
777,6.08,5.82,0.26,6.08,5.11,5.07,0.04,0.02,5.40,9.88,5.29,447.59,0.81,0.87,-3.68,-4.32
778,6.09,6.44,0.35,6.44,5.24,5.22,0.02,0.01,4.47,9.31,5.51,483.67,0.84,0.82,-4.08,-3.91
779,6.41,6.02,0.39,6.41,5.43,5.05,0.38,0.00,5.22,10.31,5.87,509.04,0.82,0.82,-3.90,-3.78
780,5.62,5.65,0.03,5.65,4.67,4.77,0.11,0.00,7.70,13.36,6.81,565.86,0.82,0.96,-3.36,-4.50
781,6.22,6.19,0.02,6.22,5.27,5.22,0.05,0.02,4.87,9.51,5.37,464.08,0.84,0.84,-3.93,-4.03
782,5.80,5.92,0.12,5.92,4.88,5.12,0.25,0.01,7.20,12.38,6.27,518.65,0.87,0.86,-3.92,-3.90
783,5.18,5.68,0.50,5.68,4.37,4.75,0.37,0.00,6.35,11.95,6.55,560.01,0.92,0.85,-4.11,-3.71
784,5.73,5.89,0.17,5.89,4.76,4.92,0.15,0.00,6.79,11.76,6.00,497.77,0.80,0.87,-3.30,-3.92
785,5.11,5.02,0.10,5.11,4.40,4.35,0.06,0.00,5.90,11.81,6.79,591.03,0.86,0.87,-3.41,-3.38
786,5.38,5.41,0.03,5.41,4.50,4.46,0.04,0.00,5.28,10.91,6.42,562.92,0.92,0.83,-4.01,-3.32
787,5.40,5.12,0.28,5.40,4.52,4.23,0.30,0.00,6.18,12.35,7.10,617.15,0.89,0.89,-3.68,-3.61
788,5.98,6.52,0.54,6.52,4.85,5.48,0.63,0.00,5.52,10.52,5.83,499.83,0.75,0.84,-3.06,-4.18
789,7.33,6.78,0.55,7.33,6.17,5.77,0.40,0.06,5.80,8.91,3.98,310.77,0.78,0.72,-4.50,-3.99
790,6.87,6.83,0.05,6.87,5.86,5.79,0.07,0.00,6.83,10.94,5.14,411.42,0.77,0.83,-4.07,-4.57
791,5.25,5.38,0.12,5.38,4.31,4.50,0.19,0.00,6.82,12.73,6.94,591.56,0.82,0.85,-3.28,-3.47
792,5.48,4.98,0.50,5.48,4.47,4.32,0.15,0.00,6.77,12.80,7.04,602.70,0.91,0.90,-3.79,-3.71
793,5.63,5.56,0.07,5.63,4.66,4.57,0.09,0.00,8.10,13.36,6.48,526.57,0.80,0.82,-3.43,-3.51
794,6.40,6.03,0.37,6.40,5.21,5.04,0.17,0.00,5.54,10.40,5.69,486.05,0.85,0.86,-4.08,-4.21
795,5.96,6.20,0.24,6.20,5.02,5.35,0.33,0.00,7.90,12.72,6.00,481.27,0.83,0.81,-3.82,-3.92
796,5.57,5.37,0.20,5.57,4.68,4.51,0.17,0.00,5.52,11.48,6.79,596.36,0.88,0.88,-3.84,-3.65
797,5.70,5.55,0.14,5.70,4.75,4.74,0.01,0.00,7.48,12.85,6.49,537.35,0.92,0.82,-4.27,-3.49
798,6.10,6.04,0.06,6.10,5.23,5.16,0.07,0.02,5.93,10.49,5.45,455.99,0.81,0.86,-3.89,-4.12
799,6.12,6.27,0.15,6.27,5.29,5.22,0.06,0.00,5.68,10.35,5.52,466.96,0.85,0.85,-4.22,-4.04
800,6.58,6.67,0.09,6.67,5.60,5.69,0.09,0.01,4.70,9.17,5.17,446.38,0.77,0.86,-3.70,-4.60
801,6.12,6.06,0.06,6.12,5.14,5.13,0.01,0.00,6.10,10.89,5.70,478.53,0.82,0.87,-3.77,-4.15
802,6.39,6.69,0.30,6.69,5.23,5.69,0.45,0.00,6.62,10.83,5.20,421.13,0.92,0.85,-4.88,-4.35
803,6.41,6.53,0.13,6.53,5.57,5.53,0.04,0.02,7.23,11.39,5.25,416.12,0.82,0.87,-4.35,-4.76
804,5.15,5.49,0.34,5.49,4.34,4.28,0.06,0.00,5.83,11.53,6.58,570.74,0.85,0.87,-3.30,-3.57
805,5.53,5.28,0.26,5.53,4.72,4.46,0.26,0.00,7.27,12.91,6.73,564.29,0.89,0.84,-3.87,-3.50
806,5.68,6.05,0.36,6.05,5.01,5.08,0.07,0.00,6.98,11.74,5.81,476.47,0.88,0.86,-4.10,-3.98
807,5.41,5.67,0.26,5.67,4.52,4.51,0.02,0.01,6.17,11.95,6.70,577.86,0.81,0.92,-3.10,-4.07
808,6.03,5.96,0.07,6.03,5.21,4.93,0.28,0.00,6.03,11.25,6.13,522.06,0.89,0.88,-4.34,-4.26
809,5.87,6.14,0.26,6.14,4.97,5.26,0.29,0.02,4.78,9.32,5.26,454.63,0.90,0.79,-4.51,-3.64
810,5.79,6.01,0.22,6.01,4.94,5.07,0.13,0.01,5.70,10.87,6.02,516.41,0.83,0.86,-3.46,-3.77
811,6.16,5.94,0.21,6.16,5.25,4.89,0.37,0.01,7.25,11.72,5.55,446.52,0.84,0.79,-4.08,-3.55
812,6.50,6.29,0.21,6.50,5.51,5.36,0.15,0.01,7.30,11.64,5.43,433.43,0.86,0.84,-4.41,-4.29
813,5.92,5.92,0.00,5.92,5.11,4.87,0.24,0.00,4.85,10.22,6.10,536.89,0.81,0.89,-3.60,-4.09
